Folder,Count,Vendi (clip-L-14-padding),Dissimilarity (clip-L-14-padding),Std (clip-L-14-padding),Vendi (clip-L-14-crop),Dissimilarity (clip-L-14-crop),Std (clip-L-14-crop),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (dinov2-l-fb-crop),Dissimilarity (dinov2-l-fb-crop),Std (dinov2-l-fb-crop),Vendi (dinov2-l-fb-padding),Dissimilarity (dinov2-l-fb-padding),Std (dinov2-l-fb-padding),Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize)
n01491361,1300,6.118140697479248,0.2796878218650818,11.161182403564451,6.267462253570557,0.2831737995147705,11.413290977478027,5.632425785064697,0.2840613722801208,9.616543769836426,6.13536548614502,0.2813455462455749,11.43315315246582,11.099980354309082,0.495244026184082,33.16011428833008,11.143275260925291,0.4959219694137573,33.20494079589844,10.286516189575195,0.4802392721176147,32.73680877685547,,,
n01491361,100,4.3574700355529785,0.2537270188331604,10.72028923034668,5.102252006530762,0.2827810049057007,11.395581245422363,4.727834224700928,0.2850073575973511,9.604174613952637,4.581027507781982,0.2608510255813598,11.072827339172363,8.220721244812012,0.4951616525650024,33.33275604248047,8.499262809753418,0.5165736675262451,34.05787658691406,7.607421398162842,0.4596840739250183,32.218116760253906,4.106323719024658,0.23789089918136597,10.710077285766602
n01491361,500,5.885351657867432,0.2801098227500915,11.178332328796388,5.802378177642822,0.2767157554626465,11.297696113586426,5.392157554626465,0.2821784615516662,9.579534530639648,5.801244258880615,0.2785935997962951,11.4144868850708,10.66828441619873,0.4980711340904236,33.259029388427734,10.206791877746582,0.4932515621185303,33.15345001220703,9.07603931427002,0.4729769825935364,32.5258674621582,4.9553093910217285,0.24458950757980347,7.882549285888672
n01491361,1000,6.048075199127197,0.2788422703742981,11.144013404846191,6.2199907302856445,0.2829970121383667,11.414865493774414,5.659392833709717,0.2862318158149719,9.660931587219238,6.130227565765381,0.2821091413497925,11.45236587524414,10.823844909667969,0.494102418422699,33.127296447753906,10.951006889343262,0.4951452612876892,33.17879104614258,10.25018310546875,0.4784458875656128,32.678672790527344,5.050464153289795,0.24215245246887207,7.963356971740723
n01742172,1300,6.328187465667725,0.2715690732002258,11.271930694580078,6.137179851531982,0.264129638671875,11.3124418258667,5.079351425170898,0.2464287281036377,9.896170616149902,6.051770210266113,0.263693630695343,11.340625762939451,11.242509841918944,0.3849691748619079,29.10941505432129,10.466763496398926,0.3731427192687988,28.66726875305176,12.517990112304688,0.4030822515487671,29.856388092041016,,,
n01742172,100,5.4338812828063965,0.2865736484527588,11.630019187927246,4.679013252258301,0.2547789216041565,11.16175937652588,3.786165952682495,0.2307612299919128,9.473306655883787,5.009260177612305,0.2699912786483764,11.517892837524414,7.74083662033081,0.3830037117004394,29.191421508789062,7.035192489624023,0.3542172312736511,28.05990982055664,7.816439151763916,0.3773537278175354,29.023176193237305,4.462623596191406,0.25900352001190186,21.19029998779297
n01742172,500,6.109873294830322,0.2731562852859497,11.31373119354248,5.828519821166992,0.2623204588890075,11.283302307128906,4.907748699188232,0.2491897344589233,9.976202964782717,5.768014430999756,0.2617553472518921,11.326072692871094,10.770881652832031,0.3977102637290954,29.615703582763672,9.88433837890625,0.3777413964271545,28.86579322814941,10.902642250061035,0.3887364864349365,29.345617294311523,5.293413162231445,0.26760274171829224,22.293500900268555
n01742172,1000,6.308919906616211,0.2729584574699402,11.291555404663086,6.018885612487793,0.2623293995857239,11.27774429321289,4.969147682189941,0.2426023483276367,9.776326179504396,6.03121280670166,0.2643768787384033,11.35370635986328,10.993034362792969,0.3840793967247009,29.081388473510746,10.394536018371582,0.3749062418937683,28.740087509155277,12.07079029083252,0.3980491161346435,29.675678253173828,5.431543350219727,0.26585954427719116,21.714799880981445
n02007558,1300,3.860194444656372,0.1953710913658142,9.712128639221191,3.7771174907684326,0.192363440990448,9.763258934020996,1.5671838521957395,0.0575170516967773,3.973844528198242,3.8354671001434326,0.1950884461402893,9.846318244934082,3.682812452316284,0.1872798204421997,20.14756774902344,3.601710081100464,0.1840680837631225,19.98468399047852,3.6125218868255615,0.1826964020729065,19.95623016357422,,,
n02007558,100,3.307821273803711,0.1914527416229248,9.654656410217283,3.214785575866699,0.1886712312698364,9.689114570617676,1.454327940940857,0.051449716091156,3.6962950229644775,3.1639275550842285,0.184374451637268,9.627955436706545,2.901085376739502,0.1673274636268615,19.115785598754883,2.951687812805176,0.1781303882598877,19.750951766967773,3.1241917610168457,0.1849538087844848,20.15723419189453,3.9580910205841064,0.2503736615180969,23.466777801513672
