Folder,Count,Vendi (convnextv2-l),Dissimilarity (convnextv2-l),Std (convnextv2-l),Vendi (dinov2-l-fb),Dissimilarity (dinov2-l-fb),Std (dinov2-l-fb),Vendi (clip-L-14),Dissimilarity (clip-L-14),Std (clip-L-14),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize)
Cubism/pablo-picasso,203,28.10209274291992,0.6469244360923767,22.93044090270996,31.84896850585937,0.6464248895645142,35.21428298950195,7.473488330841064,0.3244138360023498,11.87844467163086,27.259374618530273,0.6435704231262207,22.656185150146484,30.61424446105957,0.6349667310714722,34.80558776855469,8.036295890808105,0.3372441530227661,11.9921875
Cubism/pablo-picasso,100,23.88829231262207,0.6633615493774414,23.35731315612793,23.00452995300293,0.6334346532821655,34.91059875488281,6.728239059448242,0.3268267512321472,11.95651912689209,22.205503463745117,0.6444518566131592,22.82330322265625,23.105009078979492,0.6313713788986206,34.84552764892578,6.856663227081299,0.3276301622390747,11.8359375
Cubism/pyotr-konchalovsky,88,18.699207305908203,0.6932246685028076,23.34976577758789,27.623027801513672,0.7376716136932373,38.80607604980469,7.5492353439331055,0.3737273812294006,12.751728057861328,18.60324478149414,0.6919668316841125,23.146989822387695,27.52874755859375,0.735397219657898,38.69968795776367,7.683835506439209,0.38002878427505493,12.7109375
Cubism/georges-braque,80,19.328712463378903,0.6240459680557251,23.850587844848636,24.668174743652344,0.6549009084701538,34.99034118652344,6.015320301055908,0.3155375719070434,11.665492057800291,18.648530960083008,0.6219326257705688,23.828399658203125,23.89171028137207,0.6463223695755005,34.556480407714844,6.708961009979248,0.3380082845687866,11.984375
Cubism/fernand-leger,141,17.320037841796875,0.5597717761993408,21.254684448242188,27.526018142700195,0.6461573839187622,35.39934158325195,7.230560779571533,0.3492999076843261,12.098764419555664,16.930009841918945,0.5551643371582031,20.932209014892578,27.15347671508789,0.6416836380958557,35.23507308959961,7.928989887237549,0.36883533000946045,12.3125
Cubism/fernand-leger,100,16.230810165405273,0.5641554594039917,21.18092536926269,23.31322860717773,0.6430370807647705,35.31325149536133,6.952816963195801,0.3541607856750488,12.18750286102295,15.611506462097168,0.5542603731155396,20.851421356201172,23.90965461730957,0.6451044082641602,35.462379455566406,7.482329368591309,0.368710994720459,12.34375
Cubism/louis-marcoussis,52,14.753033638000488,0.5812487006187439,23.20561790466309,16.883703231811523,0.6031663417816162,33.45127487182617,5.297793388366699,0.3001171946525574,11.28562068939209,13.42407512664795,0.5548728704452515,22.65003776550293,15.769938468933105,0.5808340311050415,32.809627532958984,5.995422840118408,0.3264862298965454,11.6328125
Cubism/paul-cezanne,56,8.572529792785645,0.4606561064720154,19.77739143371582,12.330942153930664,0.555518388748169,33.51247787475586,4.728647708892822,0.2915928363800049,11.39708423614502,7.8705973625183105,0.4409467577934265,19.384309768676758,12.250784873962402,0.5523607134819031,33.354427337646484,4.791241645812988,0.2946223020553589,11.453125
Cubism/marc-chagall,67,16.271690368652344,0.583004355430603,21.78368377685547,25.534854888916016,0.6917306184768677,36.65424346923828,8.09549331665039,0.384185254573822,12.673028945922852,17.168004989624023,0.5963701009750366,22.10527992248535,25.787519454956055,0.6910681128501892,36.52392578125,8.230766296386719,0.38561809062957764,12.625
Cubism/juan-gris,71,16.888952255249023,0.6033555269241333,22.885303497314453,21.283647537231445,0.6600890159606934,35.95826721191406,5.267629623413086,0.289421021938324,11.290863037109377,16.022369384765625,0.5869021415710449,22.733341217041016,21.472476959228516,0.654996931552887,35.92173767089844,5.908311367034912,0.31496262550354004,11.6328125
