Folder,Count,Vendi (clip-L-14-padding),Dissimilarity (clip-L-14-padding),Std (clip-L-14-padding),Vendi (clip-L-14-crop),Dissimilarity (clip-L-14-crop),Std (clip-L-14-crop),Vendi (convnextv2-l-resize),Dissimilarity (convnextv2-l-resize),Std (convnextv2-l-resize),Vendi (clip-L-14-resize),Dissimilarity (clip-L-14-resize),Std (clip-L-14-resize),Vendi (dinov2-l-fb-resize),Dissimilarity (dinov2-l-fb-resize),Std (dinov2-l-fb-resize),Vendi (dinov2-l-fb-crop),Dissimilarity (dinov2-l-fb-crop),Std (dinov2-l-fb-crop),Vendi (dinov2-l-fb-padding),Dissimilarity (dinov2-l-fb-padding),Std (dinov2-l-fb-padding),Vendi (vgg19-gram-resize),Dissimilarity (vgg19-gram-resize),Std (vgg19-gram-resize),Vendi (convnextv2-l-padding),Dissimilarity (convnextv2-l-padding),Std (convnextv2-l-padding),Vendi (convnextv2-l-crop),Dissimilarity (convnextv2-l-crop),Std (convnextv2-l-crop)
n01644900,100,6.761754035949707,0.33134549856185913,12.093241691589355,6.747812747955322,0.3305434584617615,12.315929412841797,11.736658096313477,0.4477536082267761,13.186250686645508,6.94578218460083,0.334943950176239,12.413175582885742,11.674962997436523,0.6070717573165894,36.861270904541016,11.698863983154297,0.6275193095207214,37.430267333984375,11.949769020080566,0.6052083969116211,36.87751770019531,4.556834697723389,0.2615830898284912,14.49129867553711,10.763718605041504,0.4363899827003479,13.287619590759277,11.516847610473633,0.4336680769920349,13.225325584411621
n01644900,500,8.249428749084473,0.32841289043426514,11.999524116516113,8.201150894165039,0.32726025581359863,12.19381332397461,15.796072006225586,0.4475123882293701,12.987401008605957,8.156890869140625,0.32788151502609253,12.200567245483398,16.636032104492188,0.6334936618804932,37.45156478881836,16.67123031616211,0.6361321210861206,37.587974548339844,15.319236755371094,0.6103084087371826,36.878665924072266,5.6284003257751465,0.2721520066261291,14.625673294067385,14.336054801940918,0.430791974067688,13.25442123413086,15.4066162109375,0.44300997257232666,13.10696029663086
n01644900,1000,8.395841598510742,0.3251047730445862,11.956429481506348,8.5934476852417,0.32833200693130493,12.193793296813965,17.247257232666016,0.4487375020980835,13.02180290222168,8.48247241973877,0.3269602060317993,12.177249908447266,18.037574768066406,0.6345987319946289,37.475433349609375,16.76218032836914,0.6286559104919434,37.35478210449219,17.65892219543457,0.6208827495574951,37.14870071411133,5.807036876678467,0.2719161510467529,14.348751068115234,15.543126106262207,0.43480223417282104,13.193102836608887,16.986007690429688,0.44606274366378784,13.200498580932617
n01514668,1300,5.8210954666137695,0.25952351093292236,11.119239807128906,5.58698844909668,0.2529833912849426,11.11042308807373,8.597450256347656,0.31318575143814087,9.89431381225586,5.755300045013428,0.2579966187477112,11.222611427307129,10.0201997756958,0.3824217915534973,28.51385498046875,9.352733612060547,0.3716740608215332,28.156736373901367,9.76659870147705,0.3757282495498657,28.32594108581543,,,,7.099461555480957,0.28543567657470703,9.600339889526367,8.178816795349121,0.30463045835494995,9.809616088867188
n01514668,100,4.2398834228515625,0.23770248889923096,10.73682975769043,4.447932243347168,0.24814891815185547,11.079822540283203,6.565460205078125,0.31832557916641235,10.28192138671875,4.414424896240234,0.2465277910232544,11.01376724243164,6.801905632019043,0.36885595321655273,28.105518341064453,6.734582424163818,0.37289267778396606,28.29586410522461,7.053180694580078,0.3791939616203308,28.563682556152344,3.924315690994263,0.2338315844535827,18.28695678710937,5.486978054046631,0.2839847803115845,9.596426010131836,5.8669209480285645,0.2959709167480469,9.528450012207031
n01514668,500,5.58629846572876,0.26090002059936523,11.156622886657715,5.207284450531006,0.24794983863830566,10.993307113647461,7.947459697723389,0.3099111318588257,9.933239936828613,5.199957847595215,0.24741852283477783,11.016575813293457,9.46877384185791,0.3902960419654846,28.818126678466797,8.3645658493042,0.36712706089019775,27.99995231628418,9.217507362365723,0.3847591280937195,28.677215576171875,4.495501518249512,0.2323207259178161,18.693012237548828,6.529858112335205,0.2810443043708801,9.52993392944336,7.585799694061279,0.30403023958206177,9.730320930480957
n01514668,1000,5.756763935089111,0.25927525758743286,11.113973617553711,5.488661289215088,0.25157850980758667,11.07732105255127,8.506709098815918,0.31424981355667114,9.935320854187012,5.719306468963623,0.25791388750076294,11.220669746398926,9.744739532470703,0.37982362508773804,28.412160873413086,9.30938720703125,0.37501949071884155,28.275325775146484,9.549126625061035,0.3732690215110779,28.23430824279785,4.624051570892334,0.2309615015983581,18.362749099731445,6.9599995613098145,0.28387826681137085,9.548468589782715,7.991945743560791,0.3031063675880432,9.80256462097168
n01806143,1300,4.441590785980225,0.21499162912368774,10.23669719696045,4.30653190612793,0.21037065982818604,10.264866828918457,2.5950019359588623,0.1279096007347107,5.572973251342773,4.436151504516602,0.21598297357559204,10.416925430297852,6.010526657104492,0.3719196915626526,28.43338966369629,5.796840190887451,0.3675459623336792,28.285293579101562,6.023318767547607,0.37201255559921265,28.484289169311523,,,,2.307647228240967,0.11096221208572388,5.342555522918701,2.437925338745117,0.11794668436050415,5.344805717468262
n01806143,100,3.7696430683135986,0.21707594394683838,10.293436050415039,3.7746310234069824,0.21807676553726196,10.472488403320312,2.426213264465332,0.13648945093154907,5.755001544952393,3.696955442428589,0.21433979272842407,10.407047271728516,5.012354373931885,0.36618977785110474,28.378387451171875,4.395674705505371,0.3305596113204956,26.932613372802734,4.833821773529053,0.37024492025375366,28.562334060668945,4.595174312591553,0.2833467721939087,39.68461990356445,2.161611795425415,0.11820429563522339,5.469656944274902,2.235822916030884,0.12331181764602661,5.447689533233643
n01806143,500,4.246099472045898,0.21217745542526245,10.184578895568848,3.9707140922546387,0.20300602912902832,10.112319946289062,2.4770517349243164,0.1254391074180603,5.563203811645508,4.300576686859131,0.21614062786102295,10.422614097595215,5.773618698120117,0.3702118992805481,28.38613510131836,5.315303325653076,0.35933905839920044,27.973514556884766,5.846695423126221,0.3750273585319519,28.617733001708984,5.539518356323242,0.3156278133392334,56.57065200805664,2.3381152153015137,0.11709326505661011,5.565958499908447,2.221550226211548,0.10650449991226196,4.9434309005737305
