Folder,FD (convnextv2-l-resize),FD (dinov2-l-fb-resize),FD (clip-L-14-resize)
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-b,122.45282430914584,500.97891829654327,129.90236295230727
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-b,118.6072543870482,479.7352292449673,127.47744495417204
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-a,101.13876420493648,416.7098316491215,110.3569852170006
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-c-000030,99.46355816539996,412.0545373697592,107.13882497473554
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b-000010,98.245982884951,407.2478011851736,102.1030407327687
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-b-000010,91.18085027579605,361.56394529799945,98.6276255703059
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-b-000010,99.15259203320228,406.1567384368195,104.20447745706292
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-c-000010,87.5396369599905,359.82916306638754,101.16305160976344
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-a,91.81493404952244,389.4312946849964,105.21619131324168
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-c-000030,98.6804854798645,419.7425533615519,110.98428592448266
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-a,131.06800718269824,549.1338335657833,136.91093319586372
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-c-000030,100.66215045251124,428.6884615754243,111.46636128449636
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-b,92.86196757329924,386.716665196725,105.54440070110184
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-a,124.88719695799978,511.6567108553304,131.76587942109103
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-c,126.2056358467654,512.235838056954,131.23421118134786
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-b,94.6117341780722,419.5053723414076,108.09452272969544
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-b-000010,102.48740517749911,433.7674005050585,108.8795745981522
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-a,111.50101239401477,466.3362769972605,115.29640161137786
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-c-000010,102.53810798837765,436.53504566006495,108.1000311288098
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000010,89.54399997614178,368.48850378128327,103.00057389898636
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-a-000030,117.84861179760696,449.4558109165041,121.43454161458618
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-b-000010,83.87086225721873,343.1300018570482,97.9013216495738
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-c-000030,103.7753483586796,451.33821156136446,116.00953528501977
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-a-000030,88.71389490524689,368.3765738816464,100.2303668782805
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-a-000010,99.18513248532076,393.4778168090916,103.5674433854998
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-a,113.27309078300118,469.30958060544026,118.63458538781504
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-a,130.85361530986154,532.4971367208309,137.2719683691679
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-c,120.19388667079876,463.37809612436286,126.45382725568965
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-c,128.74497619560998,526.109985127202,131.69773941297422
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-a,98.11006926896856,399.28928642171695,112.5189660899136
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-c-000010,87.35206211497848,360.53744965992655,99.9128924308742
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-b-000010,87.44806455941148,378.5798050616936,100.58331126453017
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-c,120.2797542675462,509.8469964308929,130.94966049336475
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000010,85.38465118093154,361.7396372529688,98.95412149837055
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-c-000030,118.13746870937348,479.84341122211526,124.27440599702356
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-b-000030,87.80605000987862,369.0457770464432,100.8079789518539
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-c,111.90866228008385,475.1462677734803,119.51810866528656
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-b-000030,92.9080684822086,403.39350968775307,105.07809482136425
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-b,93.51986368291068,409.5884158888493,109.18342222148078
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-c,126.26552508247846,504.0378966874887,131.93099706487322
