Folder,Style Loss (base model),Image Similarity (clip-L-14-resize) (in),Squared Centroid Distance (clip-L-14-resize) (in),Image Similarity (clip-L-14-resize) (out),Squared Centroid Distance (clip-L-14-resize) (out),Image Similarity (clip-L-14-resize) (trigger),Squared Centroid Distance (clip-L-14-resize) (trigger),Image Similarity (clip-L-14-crop) (in),Squared Centroid Distance (clip-L-14-crop) (in),Image Similarity (clip-L-14-crop) (out),Squared Centroid Distance (clip-L-14-crop) (out),Image Similarity (clip-L-14-crop) (trigger),Squared Centroid Distance (clip-L-14-crop) (trigger),Image Similarity (clip-L-14-padding) (in),Squared Centroid Distance (clip-L-14-padding) (in),Image Similarity (clip-L-14-padding) (out),Squared Centroid Distance (clip-L-14-padding) (out),Image Similarity (clip-L-14-padding) (trigger),Squared Centroid Distance (clip-L-14-padding) (trigger),Image Similarity (convnextv2-l-resize) (in),Squared Centroid Distance (convnextv2-l-resize) (in),Image Similarity (convnextv2-l-resize) (out),Squared Centroid Distance (convnextv2-l-resize) (out),Image Similarity (convnextv2-l-resize) (trigger),Squared Centroid Distance (convnextv2-l-resize) (trigger),Image Similarity (convnextv2-l-crop) (in),Squared Centroid Distance (convnextv2-l-crop) (in),Image Similarity (convnextv2-l-crop) (out),Squared Centroid Distance (convnextv2-l-crop) (out),Image Similarity (convnextv2-l-crop) (trigger),Squared Centroid Distance (convnextv2-l-crop) (trigger),Image Similarity (convnextv2-l-padding) (in),Squared Centroid Distance (convnextv2-l-padding) (in),Image Similarity (convnextv2-l-padding) (out),Squared Centroid Distance (convnextv2-l-padding) (out),Image Similarity (convnextv2-l-padding) (trigger),Squared Centroid Distance (convnextv2-l-padding) (trigger),Vendi (dinov2-l-fb) (in),Vendi (dinov2-l-fb) (trigger),Vendi (dinov2-l-fb) (out),Vendi (clip-L-14) (in),Vendi (clip-L-14) (trigger),Vendi (clip-L-14) (out),Vendi (convnextv2-l) (in),Vendi (convnextv2-l) (trigger),Vendi (convnextv2-l) (out),Text Similarity (in),Text Similarity (out),Text Similarity (trigger)
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/scene/scene_sculpture1,958.7883911132812,0.4404296875,0.947265625,0.41650390625,0.869140625,0.44482421875,0.95166015625,0.4606047868728637,0.909783899784088,0.436402678489685,0.8322637677192688,0.4636059999465942,0.916822075843811,0.4879962801933288,0.8468871712684631,0.4658465683460235,0.7652585506439209,0.4877972304821014,0.8603159189224243,0.50439453125,0.79541015625,0.452392578125,0.65478515625,0.505859375,0.82470703125,0.4985353946685791,0.790634036064148,0.4430177211761474,0.6573484539985657,0.4979172646999359,0.8240746855735779,0.5066307783126831,0.774486780166626,0.4582518637180328,0.6269216537475586,0.5006226301193237,0.8186928033828735,5.411941051483154,4.128968715667725,3.5064568519592285,2.0876705646514893,1.9490866661071773,1.871517419815064,2.388655185699463,2.0221338272094727,2.3081700801849365,0.12561006844043732,0.15074077248573303,0.1380658745765686
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/stuffed_toy/plushie_bunny,965.8090209960938,0.56201171875,0.5869140625,0.5625,0.5869140625,0.58251953125,0.5634765625,0.5622254014015198,0.5862483978271484,0.5624562501907349,0.5871514081954956,0.5818349719047546,0.5643873810768127,0.563994288444519,0.5746254920959473,0.5647081732749939,0.5745604038238525,0.5836864113807678,0.5526002049446106,0.49853515625,0.53173828125,0.5009765625,0.5244140625,0.5263671875,0.50390625,0.4948048591613769,0.5825445055961609,0.4975893795490265,0.5743103623390198,0.5228676795959473,0.5539845824241638,0.5013260841369629,0.5185351967811584,0.5028677582740784,0.5127861499786377,0.5271182656288147,0.4945207834243774,5.0976762771606445,3.6356940269470215,2.544067859649658,2.774649143218994,2.4697206020355225,1.8895221948623653,3.793241024017334,3.0057222843170166,2.2252907752990723,0.22628524899482727,0.250565767288208,0.2578020989894867
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/stuffed_toy/plushie_teddybear,1542.1688232421875,0.7607421875,0.285400390625,0.7626953125,0.282958984375,0.76513671875,0.31494140625,0.7603237628936768,0.2855532765388489,0.762450635433197,0.2831118106842041,0.7651039361953735,0.3153045177459717,0.7603237628936768,0.2855532765388489,0.7624505758285522,0.2831118106842041,0.7651039361953735,0.3153045177459717,0.84326171875,0.12548828125,0.8486328125,0.1304931640625,0.83349609375,0.20947265625,0.8510881662368774,0.1222021058201789,0.8520963788032532,0.1359572112560272,0.8355956077575684,0.2178278416395187,0.842803955078125,0.1254112124443054,0.8481645584106445,0.1304620206356048,0.833092987537384,0.2094742953777313,3.728840827941896,2.155364990234375,1.926716566085816,1.8030797243118288,1.5038580894470217,1.4226651191711426,1.6982487440109253,1.241274118423462,1.2746851444244385,0.28365272283554077,0.20329786837100983,0.23073537647724152
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/stuffed_toy/plushie_pink,987.1577758789062,0.58349609375,0.3837890625,0.5810546875,0.385986328125,0.64306640625,0.352294921875,0.5842441320419312,0.3834647834300995,0.5817968845367432,0.3855887055397033,0.6448245644569397,0.3492763638496399,0.5835292935371399,0.3793390393257141,0.5813385844230652,0.3809491991996765,0.6419987082481384,0.3493719696998596,0.47998046875,0.28271484375,0.47998046875,0.265625,0.494140625,0.332275390625,0.4839765429496765,0.2679199874401092,0.4853354394435882,0.2483417838811874,0.5035015940666199,0.3067612051963806,0.4801274538040161,0.2800858318805694,0.4799441993236542,0.263592779636383,0.4947583973407745,0.3287170827388763,9.345489501953123,6.377702713012695,3.141238212585449,3.41260838508606,2.22549819946289,1.906693696975708,5.175759315490723,3.4433326721191406,2.2159793376922607,0.26455697417259216,0.2603171169757843,0.2658335566520691
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/stuffed_toy/plushie_panda,769.5405883789062,0.724609375,0.235107421875,0.689453125,0.2442626953125,0.7724609375,0.2088623046875,0.7245900630950928,0.2349742650985717,0.6897593140602112,0.2440845966339111,0.7728732228279114,0.2087100446224212,0.7247579097747803,0.2325591892004013,0.6895837187767029,0.2423575222492218,0.7727776169776917,0.2068224251270294,0.6650390625,0.1470947265625,0.6171875,0.1829833984375,0.7216796875,0.1300048828125,0.6829400658607483,0.1433027237653732,0.636006772518158,0.1779409646987915,0.7430282831192017,0.1199179291725158,0.6654134392738342,0.1462650150060653,0.6179777979850769,0.1819112598896026,0.7222358584403992,0.1294144392013549,4.619223594665527,3.4911108016967773,2.727079153060913,2.8174452781677246,2.0252957344055176,1.8575462102890008,4.009715557098389,2.9619877338409424,2.156545400619507,0.2750960886478424,0.25577065348625183,0.28211256861686707
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/stuffed_toy/plushie_lobster,886.5505981445312,0.54833984375,0.51953125,0.55078125,0.4658203125,0.498046875,0.66357421875,0.5483095645904541,0.5196279287338257,0.5509666800498962,0.4658266305923462,0.4981743991374969,0.6636680960655212,0.5483095645904541,0.5196279883384705,0.5509666204452515,0.4658266901969909,0.4981743395328522,0.663668155670166,0.370849609375,0.54150390625,0.36328125,0.5,0.36279296875,0.69580078125,0.3765890896320343,0.5723145008087158,0.3735913932323456,0.5217992663383484,0.3713418245315552,0.7209604978561401,0.3709469139575958,0.5412610769271851,0.363503098487854,0.4996384382247925,0.3630051910877228,0.695297360420227,11.14455795288086,4.888499736785889,3.8311030864715576,2.903587579727173,2.4818432331085205,2.022135972976685,4.537018775939941,2.5452897548675537,2.37717080116272,0.29647931456565857,0.26775434613227844,0.22340787947177887
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/stuffed_toy/plushie_tortoise,937.3451538085938,0.7666015625,0.2607421875,0.73681640625,0.29248046875,0.8154296875,0.20556640625,0.7665331959724426,0.260578989982605,0.7368705868721008,0.2923051118850708,0.8152418732643127,0.2053962647914886,0.7665332555770874,0.2605790197849273,0.7368705868721008,0.2923051118850708,0.8152418732643127,0.2053962647914886,0.68408203125,0.259033203125,0.64697265625,0.280029296875,0.73681640625,0.205810546875,0.6863444447517395,0.2684382796287536,0.6529985070228577,0.2815839648246765,0.7425231337547302,0.2084799110889434,0.684140145778656,0.2590205669403076,0.6469132304191589,0.2799324095249176,0.7369901537895203,0.2057237476110458,4.903431415557861,3.3415355682373047,2.8011410236358643,2.304022789001465,1.8424288034439087,1.757053017616272,2.790830373764038,2.169646978378296,2.008884906768799,0.2276383340358734,0.18328610062599182,0.2310120016336441
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/yuuki_makoto,1279.7823486328125,0.6328125,0.1776123046875,0.5595703125,0.249755859375,0.68408203125,0.185546875,0.6554694175720215,0.1326062083244323,0.5788565874099731,0.2119269073009491,0.7044230699539185,0.1448983401060104,0.6484501361846924,0.1537504941225052,0.5724700093269348,0.2318074405193328,0.6986335515975952,0.1635830253362655,0.5009765625,0.0611572265625,0.35791015625,0.1754150390625,0.583984375,0.1307373046875,0.4893969297409057,0.0650542005896568,0.3526755273342132,0.1667322665452957,0.5704770088195801,0.1388030797243118,0.4911386668682098,0.0678755193948745,0.3563463091850281,0.1656894087791443,0.5789077281951904,0.1282446533441543,12.539690971374512,4.808943748474121,3.0615363121032715,5.539463996887207,3.244472980499268,1.9737670421600344,11.31334114074707,4.518753528594971,2.6596477031707764,0.30542248487472534,0.3328504264354706,0.23139414191246033
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/tsushima_yoshiko,2651.570556640625,0.64892578125,0.2174072265625,0.60888671875,0.2310791015625,0.68115234375,0.235595703125,0.6843509078025818,0.1615051925182342,0.6395435333251953,0.1853097081184387,0.7145971059799194,0.1842920780181884,0.6640159487724304,0.2001579999923706,0.6198496222496033,0.2226901054382324,0.6946226358413696,0.2222293466329574,0.5791015625,0.05987548828125,0.466552734375,0.12103271484375,0.65234375,0.11273193359375,0.5651237368583679,0.0738082602620124,0.4587093293666839,0.122804194688797,0.6405320763587952,0.122773952782154,0.565371572971344,0.0627874061465263,0.4528768062591553,0.1239458993077278,0.633263349533081,0.126783087849617,8.555608749389648,4.066855430603027,2.963233470916748,3.965403318405152,2.6541178226470947,1.8128082752227783,8.087291717529297,3.5442569255828857,2.541980266571045,0.30186575651168823,0.32550033926963806,0.23753641545772552
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/abukuma/toid outfit,1880.2728271484373,0.671875,0.208251953125,0.63037109375,0.254638671875,0.73095703125,0.2049560546875,0.6970553398132324,0.1673292219638824,0.657048225402832,0.2105375528335571,0.7518395781517029,0.172242134809494,0.6839576959609985,0.1938070058822631,0.6405386328697205,0.2438342720270156,0.7393636107444763,0.1974707245826721,0.5751953125,0.0811767578125,0.483642578125,0.134033203125,0.6435546875,0.1290283203125,0.5777211785316467,0.0844903066754341,0.4872568249702453,0.1353228390216827,0.6484766006469727,0.1273705959320068,0.5730746984481812,0.0858207046985626,0.4807764291763305,0.1403252333402633,0.6388257741928101,0.13871631026268,11.585144996643066,3.977835178375244,2.879906177520752,4.293491363525391,2.407002687454224,1.7662616968154907,7.735023498535156,3.64418888092041,2.3868298530578613,0.2663290798664093,0.310295969247818,0.2298780083656311
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/abukuma/none,2343.61328125,0.63330078125,0.2071533203125,0.6064453125,0.2548828125,0.67529296875,0.273193359375,0.6635331511497498,0.1605599075555801,0.6377934217453003,0.2055742144584655,0.7091256976127625,0.2197320759296417,0.6446144580841064,0.1935784816741943,0.6156651377677917,0.2450168430805206,0.6886886954307556,0.2557980418205261,0.474609375,0.059783935546875,0.4189453125,0.149658203125,0.56591796875,0.215576171875,0.4673379063606262,0.065410241484642,0.4153251349925995,0.1479832530021667,0.5609181523323059,0.2161382287740707,0.4701083898544311,0.0714374780654907,0.4075106084346771,0.17518350481987,0.5532322525978088,0.2430826425552368,13.715109825134276,3.808243989944458,2.9247214794158936,4.834738731384277,2.358582258224488,1.737320899963379,11.373140335083008,3.284278392791748,2.4458248615264893,0.3156820237636566,0.318611204624176,0.22474785149097443
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/abukuma/onex outfit,2603.034423828125,0.7158203125,0.2176513671875,0.67822265625,0.236328125,0.75244140625,0.2174072265625,0.7457287907600403,0.1643033623695373,0.7114863395690918,0.1760567724704742,0.783536970615387,0.1615257561206817,0.723624050617218,0.2003260254859924,0.6851418614387512,0.2205543369054794,0.7606071829795837,0.1991973370313644,0.673828125,0.060882568359375,0.5537109375,0.14013671875,0.71044921875,0.125732421875,0.6653707027435303,0.0653131380677223,0.5485661029815674,0.1378532946109771,0.7023626565933228,0.1293491125106811,0.660663366317749,0.0701251029968261,0.5454353094100952,0.1395075023174286,0.6971524357795715,0.1351701468229293,5.881401538848877,3.1818337440490723,2.805201768875122,3.1443092823028564,2.094182014465332,1.712005853652954,5.3053507804870605,2.7661850452423096,2.2091612815856934,0.25466927886009216,0.29461708664894104,0.23861178755760193
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/kotomine_kirei,1406.677734375,0.63720703125,0.1895751953125,0.57470703125,0.2279052734375,0.63916015625,0.25341796875,0.651761531829834,0.1672435402870178,0.5885518193244934,0.2065861821174621,0.6546754240989685,0.2297168970108032,0.6472707986831665,0.1760431230068206,0.5844602584838867,0.2145805805921554,0.6503246426582336,0.2382347583770752,0.52001953125,0.06439208984375,0.39697265625,0.10943603515625,0.5703125,0.1378173828125,0.5293755531311035,0.065352663397789,0.4048334956169128,0.113491915166378,0.5820125937461853,0.1342164725065231,0.5089283585548401,0.0718604773283004,0.3888788223266601,0.1110125035047531,0.5576719641685486,0.1485137939453125,11.360546112060549,4.391158103942871,3.152104616165161,4.398695945739746,3.069815397262573,1.9285188913345337,8.513426780700684,4.034398078918457,2.6878082752227783,0.28826865553855896,0.3000785708427429,0.209615558385849
ddim-v1-5-pruned-emaonly-exp-3034-sd15-nt-lr5e-6-alltags-c/anime/ikamusume/dca outfit,1914.2618408203125,0.65576171875,0.25390625,0.61376953125,0.277099609375,0.693359375,0.232421875,0.67947918176651,0.2090745568275451,0.6345300078392029,0.2380339503288269,0.7142408490180969,0.1932272762060165,0.6611446738243103,0.2544997930526733,0.6197329163551331,0.2763850688934326,0.6966405510902405,0.2371851205825805,0.5322265625,0.09613037109375,0.443603515625,0.1531982421875,0.56494140625,0.1412353515625,0.5258066058158875,0.1022905483841896,0.4377170503139496,0.1587519347667694,0.5555773377418518,0.1532521545886993,0.5285509824752808,0.1074042320251464,0.4340720474720001,0.1766431927680969,0.5652099847793579,0.1445788443088531,11.847400665283203,7.847110271453857,3.213954210281372,4.404609680175781,3.274657964706421,2.0212206840515137,10.679473876953123,6.932372093200684,2.70019006729126,0.22767400741577148,0.2969639301300049,0.22030998766422272
