Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/pencil_drawing,1232.1981201171875,1103.389892578125,1469.140380859375
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000010/style/ghibi,2460.602294921875,1383.33544921875,1773.550048828125
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/felix_vallotton_stroke,1187.3011474609375,1794.308349609375,1105.0125732421875
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/ghibi_alter,810.9732055664062,396.1138916015625,292.8502197265625
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/ukiyo_e,2349.658447265625,1330.925537109375,1444.246337890625
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/impressionism,1365.175048828125,1075.63720703125,1349.165771484375
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/vladimir_borovikovsky,1572.399658203125,1113.098388671875,1523.822265625
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/pencil_drawing,1303.0731201171875,992.406494140625,754.870849609375
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-b-000030/style/ghibi,1663.212890625,1310.8406982421875,936.6719970703125
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/felix_vallotton_stroke,1338.8468017578125,2541.037109375,1436.185302734375
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/ghibi_alter,1597.2291259765625,675.797119140625,570.6934814453125
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/ukiyo_e,2314.459228515625,1368.21240234375,1893.955810546875
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/impressionism,677.2322387695312,729.3004150390625,701.5030517578125
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/vladimir_borovikovsky,1382.3583984375,866.1912231445312,1940.965087890625
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/pencil_drawing,741.484619140625,592.2098388671875,695.2734375
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b/style/ghibi,1774.1868896484375,1428.923095703125,5637.81005859375
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/felix_vallotton_stroke,1148.035888671875,2363.519287109375,1108.9954833984375
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/ghibi_alter,1126.9766845703125,621.9718017578125,281.3331604003906
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/ukiyo_e,2148.1728515625,1145.5755615234375,1617.0374755859375
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/impressionism,843.50927734375,780.4340209960938,801.947021484375
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/vladimir_borovikovsky,1521.376953125,1058.0634765625,1617.5115966796875
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/pencil_drawing,1067.267578125,619.266357421875,1657.774169921875
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b/style/ghibi,1958.8843994140625,1437.66796875,2758.349609375
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/felix_vallotton_stroke,1164.278564453125,1434.40576171875,1447.619140625
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/ghibi_alter,1301.54345703125,1112.1177978515625,699.190185546875
ddim-v1-5-pruned-emaonly-exp-1027-sd15-lokrf8-lr5e-3-b/style/ukiyo_e,1998.700439453125,1327.2232666015625,1123.93798828125
