Folder,Text Similarity (in),Text Similarity (out),Image Similarity (clip-L-14) (in-crop),Image Similarity (clip-L-14) (out-crop),Image Similarity (clip-L-14) (in-padding),Image Similarity (clip-L-14) (out-padding),Image Similarity (convnextv2-l) (in-crop),Image Similarity (convnextv2-l) (out-crop),Image Similarity (convnextv2-l) (in-padding),Image Similarity (convnextv2-l) (out-padding),Image Similarity (dinov2-l-fb) (in-crop),Image Similarity (dinov2-l-fb) (out-crop),Image Similarity (dinov2-l-fb) (in-padding),Image Similarity (dinov2-l-fb) (out-padding),vendi (clip-L-14) (in),vendi (clip-L-14) (out),vendi (dinov2-l-fb) (in),vendi (dinov2-l-fb) (out),vendi (convnextv2-l) (in),vendi (convnextv2-l) (out)
exp-1101-sd15-nt-a-000030/anime/ikamusume,0.24146538476149237,0.24044612050056455,0.7440142234166464,0.7130287289619446,0.7342329819997152,0.7002315322558085,0.6154711047808329,0.5211325387159983,0.602959672609965,0.5078789492448171,0.5828171769777933,0.4823381205399831,0.5823774139086405,0.4799183209737142,2.9043211936950684,1.8015964428583782,7.914616584777832,3.1815906365712485,6.492829004923503,2.9081386725107827
exp-1101-sd15-nt-a-000030/people,0.2391471502681573,0.2798845559358597,0.6494001001119614,0.5161589781443279,0.6370278278986613,0.5070010220011075,0.5987375090519588,0.40872652232646944,0.583876567085584,0.40328327268362046,0.5676677852869034,0.34417475163936617,0.5618046969175339,0.34818001290162404,4.064017550150553,2.342535642782847,6.794299602508545,3.098960320154826,5.050225603580475,2.826827335357666
exp-1101-sd15-nt-a-000030/people/Admiral_Piett,0.229143276810646,0.23737241327762598,0.6660350859165192,0.529060572385788,0.6559886038303375,0.522528737783432,0.6101902723312378,0.40825495123863215,0.5991072654724121,0.3965474367141723,0.6087979674339294,0.3742097467184067,0.5946592688560486,0.37166029214859003,3.7480366230010986,2.512934446334839,4.9275963306427,3.183048725128174,4.711874008178711,3.1471359729766846
exp-1101-sd15-nt-a-000030/people/Bodhi_Rook,0.2291337798039118,0.2734003812074661,0.5985956788063049,0.45671119292577106,0.585811456044515,0.44509197274843854,0.5580084522565206,0.32979708909988403,0.5230249265829722,0.31059008836746216,0.5414466857910156,0.28664650022983545,0.5307071208953857,0.2860496590534845,5.104138215382894,2.4341164429982505,7.485257625579834,3.033172686894735,5.973954677581787,2.8542356491088867
exp-1101-sd15-nt-a-000030/people/Rose_Tico,0.24765536189079282,0.27497008442878723,0.6088958978652954,0.4895932972431183,0.5980254113674164,0.4838410019874573,0.5055491179227829,0.3330410718917846,0.48983247578144073,0.33656553924083704,0.3771621137857437,0.2190374284982681,0.37005822360515594,0.22242606431245798,4.80641508102417,2.3243740797042847,12.848685264587402,3.530291795730591,7.483239650726318,2.8338421583175664
exp-1101-sd15-nt-a-000030/people/Saw_Gerrera,0.2616639472544193,0.31240589916706085,0.6839187294244766,0.5260735750198364,0.673182487487793,0.5240762606263161,0.6458697617053986,0.4445133358240127,0.6418488025665283,0.4451789930462837,0.6130356192588806,0.3154354393482208,0.6143839955329895,0.3229958042502403,3.1210334300994873,2.1755343079566956,5.236775636672974,2.980191707611084,3.883428394794464,2.6142994165420532
exp-1101-sd15-nt-a-000030/scene,0.18900667726993559,0.2061462134122848,0.7377261638641357,0.5689229369163513,0.7497688412666321,0.5792697846889496,0.7831471562385559,0.5540688395500183,0.7962641239166259,0.5656357526779174,0.6975905299186707,0.43098180890083315,0.7152032613754272,0.4426126182079315,2.384861135482788,1.9519335985183717,3.6646849870681764,2.736603546142578,2.2087032318115236,1.9908812284469604
exp-1101-sd15-nt-a-000030/stuffed_toy,0.29410045345624286,0.32075689484675723,0.7657271027565002,0.6968407134215037,0.7648352881272634,0.6956458191076914,0.6939217448234558,0.6681647300720215,0.680753618478775,0.6503146588802338,0.6321408251921335,0.5246066053708395,0.6311826954285303,0.5239442785580953,2.7582880655924478,1.6633638342221577,5.479454517364502,2.34885311126709,3.7846368153889975,1.6370408932367961
exp-1101-sd15-nt-a-000030/style,0.16127191271100721,0.18799640451158797,0.47710634555135456,0.39223750148500713,0.4716349116393498,0.39119469267981394,0.34979245492390226,0.21508952123778208,0.35590508580207825,0.23204698520047323,0.34757969634873526,0.18641850352287292,0.35033438886914936,0.19105435269219534,6.4456314359392435,1.954784904207502,16.04538713182722,3.050694567816598,12.393922056470599,2.596218620027815
exp-1101-sd15-nt-a/anime,0.2741347213586171,0.28990661799907685,0.715709141890208,0.6546660701433817,0.7068255265553792,0.6446765542030335,0.5822773337364197,0.47113085190455123,0.5728943188985188,0.46010636289914447,0.5656173427899679,0.4145329833030701,0.5604479372501373,0.40866555372873936,3.056190760930379,1.792874550819397,7.955990743637085,2.8763487021128333,6.683605003356933,2.5233914693196615
