Folder,FD (convnextv2-l),FD (clip-L-14),FD (convnextv2-l-padding),FD (clip-L-14-padding),FD (dinov2-l-fb-padding),FD (dinov2-l-fb),FD (dinov2-l-padding),FD (dinov2-l)
v15-exp-1003-sd15-lora32a1-c-000030,86.24638035288422,87.20198037200714,98.15502872475032,93.00925576309822,361.9277327985824,349.9686411733637,400.1850166377908,400.1173276915752
v15-exp-1024-sd15-lokrf12d8-c-000010,120.63472288860464,109.65069825642983,136.15854834305458,117.75517842525504,610.6610528850774,595.0909801232024,603.6630361261582,598.7101739235245
v15-exp-1002-sd15-lora32a16-b-000010,88.1829250667181,87.52748560587793,100.89452164645036,94.55245074356692,376.020474874083,364.4531207983168,386.9628956997258,391.2138500115766
v15-exp-1025-sd15-lokrconf8d8a4-c-000030,102.54771435705436,97.20098235126932,116.16412160069969,103.96044020383609,472.6095556601922,464.00156885569504,475.8704766536912,477.0547386799335
v15-exp-1026-sd15-lokrattnonlyf8d8a4-b,119.45927640185892,116.0079076733847,130.2510753473,124.53256764151725,613.0756360176592,595.5891747341557,620.9536462087026,612.6231929250202
v15-exp-1023-sd15-lokrfm1d8-a,125.64110093723411,109.25714446971624,139.94421844929434,116.79318992466744,601.2679518763362,577.7230982476672,595.9333479476641,590.7087182923133
v15-exp-1007-sd15-lora8a4-Prodigy-a,110.0092225545817,99.46064662310204,124.35126972995567,105.86512231129802,456.8491715969176,452.238132648371,469.0194845279775,465.5093274714272
v15-exp-1022-sd15-lokrf8dinf-b-000010,98.68659795747294,96.00906568390452,111.38398438501213,102.38106841238896,460.6052142559993,446.04704867582313,460.68844475209926,462.0958194969489
v15-exp-1021-sd15-lokrf8d8a4-c-000010,112.48439609734568,106.34993667347618,125.28839365147236,114.0264690236702,551.7210165115807,537.0274064192549,543.956937593483,540.4322217239937
v15-exp-1023-sd15-lokrfm1d8-c-000010,117.1924325497822,117.12743652893266,134.0374335248299,125.05221370546816,624.2998435906952,609.9905167502875,614.7892650990852,605.8060618556797
v15-exp-1015-sd15-lohaatnonly4a2-c-000010,105.8564861543382,102.42006466435367,121.22866415117517,110.70295318196077,509.45850431215285,492.23773880210274,502.8854906270799,502.8031004660616
v15-exp-1015-sd15-lohaatnonly4a2-b-000010,113.17468434461011,102.29132460352486,127.06056875095668,109.88931679356614,529.4411084019057,517.3556303149335,533.3005283265747,531.0414594591334
v15-exp-1005-sd15-loraattnonly8a4-c-000030,87.14759353426189,88.44181681748057,97.86266064820391,94.7121411852426,382.5957508881538,373.0694908179662,394.1936911148978,395.56289406013775
v15-exp-1027-sd15-lokrf8d8a4-scalar-c-000030,98.58995764216536,98.36130897408624,113.36474982454558,106.03791144347656,480.0127153613048,470.0720172254405,484.25193285210753,482.51277710376735
v15-exp-1016-sd15-loha4a2-scalar-a-000010,101.59781183099756,99.5961952255908,116.68601176432924,107.28388137121374,488.8123973031738,471.8979974945673,477.3144769334667,474.05642495239726
v15-exp-1014-sd15-lohacon4a2-b,88.9933780783715,89.44559920580434,101.27752719725254,95.48083986420228,375.4106533455847,370.2496387896472,412.3766567383768,413.0799880891291
v15-exp-1015-sd15-lohaatnonly4a2-b-000030,95.84803461848264,92.929533952018,109.99527791362108,100.80255951050464,431.6315362192254,419.28249729227673,440.7232324473789,442.430758319832
v15-exp-1025-sd15-lokrconf8d8a4-a-000030,101.80571003113904,98.35649955284742,112.41209029901928,106.13673380813869,480.2265027882022,469.31123526526426,483.16041777175496,481.6453981055206
v15-exp-1014-sd15-lohacon4a2-a,90.53088687736,89.91608086716212,102.45241129655142,96.00400967517233,386.9347157389443,383.0321746770087,426.7951517957536,428.106893710275
v15-exp-1026-sd15-lokrattnonlyf8d8a4-c,111.12254962331168,107.30597639660004,128.45613241540184,115.9708759766828,566.8936817412832,544.9115737848565,570.8243949182056,562.8706176672636
v15-exp-1011-sd15-loha4a2-b-000030,94.12358872716732,86.84019709740312,106.545705725463,94.01419512609544,388.0402794471747,379.1383333869781,407.05139329641815,409.7852118624151
v15-exp-1027-sd15-lokrf8d8a4-scalar-b-000030,99.82310445812038,97.75435833178416,115.00062247063796,105.94245355418305,459.559450691012,450.70402351974417,464.0241442355596,459.9865125849956
v15-exp-1023-sd15-lokrfm1d8-b-000030,112.68019402932168,108.0989943444788,125.8577787663986,115.19386076908133,576.62900550425,561.3810383764685,577.948886507721,578.3380328020453
v15-exp-1023-sd15-lokrfm1d8-c,111.87379433946865,109.03714941090374,128.19650055211832,117.21406902709867,558.6333266896763,538.4906089789451,550.5401873940841,548.6279937336558
v15-exp-1027-sd15-lokrf8d8a4-scalar-a-000030,100.90440031735056,95.6236293239167,115.18435390592242,103.59475550972462,489.8611272303042,474.6056809026954,490.82151388044485,489.7963930509636
v15-exp-1015-sd15-lohaatnonly4a2-c-000030,96.01986508894504,94.3898798176964,112.30608912933384,101.86587809180492,424.8452144081998,414.138412644023,436.3248654406252,436.0430928497353
v15-exp-1005-sd15-loraattnonly8a4-c,88.34421838703065,87.73385081637161,100.26322477801092,94.38294872300912,368.0039739874824,360.42292433450575,390.4594290490368,389.3924900198013
v15-exp-1026-sd15-lokrattnonlyf8d8a4-c-000010,143.11786383468086,130.03235087503265,156.69489808838466,137.88837231977027,712.0649857897392,700.1658246284533,708.3224062951926,701.2284711780626
v15-exp-1013-sd15-loha16a1-a-000010,88.82420971481565,91.95346296087509,102.47004816346656,97.90832109612997,398.9347430119183,383.5586312525811,402.0329283052711,402.6636083373073
v15-exp-1028-sd15-lokrf8d8a4-Prodigy-b,153.49273526752006,147.13913007218116,168.27998954203736,154.59011950078553,818.086583769853,797.1327813545536,807.702109832403,801.9956130074384
v15-exp-1026-sd15-lokrattnonlyf8d8a4-b-000030,128.27192408056294,116.06097803659736,141.16104615885217,124.93347863219032,642.1563792368943,622.4968222070097,641.9670862325984,633.5762305271455
v15-exp-1025-sd15-lokrconf8d8a4-c,99.55489365135496,95.89680791739772,115.16008475176852,103.65324441825334,457.9997932352321,444.6513699331963,461.7712738889086,461.5409647588117
v15-exp-1024-sd15-lokrf12d8-c-000030,109.71857375179786,100.12626784277842,129.471471867564,108.434558625249,548.0639900581332,525.6006935427372,535.3694308710792,529.6602801917265
v15-exp-1027-sd15-lokrf8d8a4-scalar-a,95.54855934645002,94.94805125556468,110.01776882571004,103.17202663324042,476.5910044939105,460.7467156131265,486.4732337811338,484.5951983769355
v15-exp-1005-sd15-loraattnonly8a4-b,88.38162165638232,89.04924098030949,99.4970223950063,95.57102299041937,393.4303350021824,384.9883403100862,427.5427868571569,426.07825492920347
v15-exp-1007-sd15-lora8a4-Prodigy-c,121.43354822198457,105.58444513808428,134.3519002118577,112.4491797497788,511.62855722539416,503.2799074605273,519.2416193303352,519.3321354821474
v15-exp-1021-sd15-lokrf8d8a4-b,102.68705374149944,94.33209315886734,117.55134824223296,102.12520844644598,464.3112716471296,448.76244996081687,466.7520980239879,464.71279776262463
v15-exp-1016-sd15-loha4a2-scalar-a,85.84299037516962,87.83619551702259,97.62222251316577,94.48090876266878,372.5864921774332,362.4099572103887,398.601318407917,399.04416653406497
v15-exp-1026-sd15-lokrattnonlyf8d8a4-a-000030,117.9743517185924,110.96995065997726,132.054247578228,119.02165989644676,584.2752448323454,571.4044764178225,587.8315637164378,583.5839488918687
v15-exp-1023-sd15-lokrfm1d8-c-000030,110.81971246100544,105.97667798886022,128.73692882237424,113.87298576256524,543.9080154406288,529.569932963062,535.6035508787422,530.0822310859876
v15-exp-1013-sd15-loha16a1-a-000030,80.95128957495308,84.78543719198342,93.47010181714744,90.83629288288488,341.69888745351227,333.35263274813497,362.2209436065009,364.94441159419057
v15-exp-1014-sd15-lohacon4a2-c,87.50333685442001,88.80134899007317,101.07890008461608,95.1224016811313,370.45979682041707,359.083791281304,396.1572279729549,394.85339715062855
v15-exp-1016-sd15-loha4a2-scalar-c,87.77530135795496,87.1936724644329,100.89017412276166,93.71296365473302,376.5088499960998,365.5246704073761,403.04981513288976,400.7058719218912
v15-exp-1017-sd15-loha4a2-Prodigy-c-000010,149.36377356988203,132.5108902473355,163.1529189571869,138.44375575512458,708.2579033002007,693.4769405667653,701.7562026243177,692.316894602131
v15-exp-1028-sd15-lokrf8d8a4-Prodigy-c,186.79183514666067,164.33415030724274,201.6495669391859,169.7680786113142,901.3584361982024,885.3502644283349,920.8969600257932,908.5629403282128
v15-exp-1011-sd15-loha4a2-c-000010,93.9448881376801,91.09263772467784,108.449978033373,97.83644805053262,425.53168119463,411.2047765547777,423.14912213792377,422.21480008312847
v15-exp-1014-sd15-lohacon4a2-b-000030,87.60907551938885,88.4265264275349,99.3050890613058,94.59275147468782,375.75894481803607,369.6386758245694,400.537507002538,403.0417519057482
v15-exp-1028-sd15-lokrf8d8a4-Prodigy-c-000010,150.46418354103776,133.92013461627118,165.52552643967022,140.6097274058685,727.6653739990661,718.2851924589577,741.6624622777699,739.3077716452303
v15-exp-1012-sd15-loha16a8-a-000030,79.93987541512047,85.15800963677339,92.36112824165592,90.92464957922311,338.6579740032157,329.6936762099717,369.05674927127166,371.1204740734879
v15-exp-1006-sd15-lora8a4-scalar-b,86.78568049316209,86.74527410543863,98.28553039302824,92.2190771397099,360.20086751226427,356.01969183299525,405.0945406639612,406.0164990995645
v15-exp-1027-sd15-lokrf8d8a4-scalar-c-000010,130.72606854791718,116.95818366911315,142.81864843033918,124.79736304518455,631.3293831823325,619.9910139224471,623.5022824306475,621.4881987330805
v15-exp-1003-sd15-lora32a1-c,85.15209345546532,87.4801439678439,98.11642442664127,93.53300140822672,358.7846165472047,352.9647598964766,414.77626655385257,414.1900020450344
v15-exp-1001-sd15-lora8a4-a-000010,93.08142528655615,89.04696827933844,103.73744075231434,95.864375486786,400.0936812351847,390.7983236522941,419.7724023480855,422.5862146916256
v15-exp-1017-sd15-loha4a2-Prodigy-a,228.9481170344594,197.64585485515147,235.8203764960772,203.0876445633968,1110.35925299983,1101.2451498266637,1133.037168451241,1125.9060409302674
v15-exp-1002-sd15-lora32a16-b,85.73618833208457,90.08151018320564,95.03345534255072,95.2571728166144,372.0964993235775,367.39907969801743,430.7053292162209,431.0188637567853
v15-exp-1022-sd15-lokrf8dinf-a-000030,99.92334914064033,94.04862082025636,112.3772342422908,101.79019461181925,455.1333639805771,440.4191142424356,456.0488556448013,453.11795574079497
v15-exp-1015-sd15-lohaatnonly4a2-a-000030,93.20322753777737,93.3416107357192,109.02962228945536,101.02081817073577,431.9965476170423,418.8077454609961,439.2975632100092,440.3133843475821
v15-exp-1021-sd15-lokrf8d8a4-b-000010,115.83818385868256,101.69062169379085,129.6769512278729,109.77695160975144,539.9425606294803,523.2550912854576,522.9700688062048,518.5303235321721
v15-exp-1006-sd15-lora8a4-scalar-a-000010,99.81986584271976,95.41632892190398,109.49276310017832,102.68894933254404,440.4540135676343,431.8374293561651,443.63015612316303,449.8488755391581
v15-exp-1012-sd15-loha16a8-a,79.08070946765974,85.82448006713514,92.14068866442904,92.43994894158747,348.5058510426611,339.18289721450856,385.8518078995935,387.1381406988367
v15-exp-1007-sd15-lora8a4-Prodigy-b,107.22507772625158,99.59067072741504,120.65171508224456,107.1995428546972,460.95678905075374,447.03126251191,477.5881669729356,479.45084233268017
v15-exp-1007-sd15-lora8a4-Prodigy-a-000010,111.19132131868172,105.37721835447564,125.42696099125862,111.6651095924583,491.3753623723983,479.4082058614731,498.2676841353823,496.8004123472479
v15-exp-1014-sd15-lohacon4a2-b-000010,95.6790824015086,92.81941253009576,108.10935977551615,100.19934908096911,404.5223853766124,396.1706470602685,402.4772840413625,406.09656958855976
v15-exp-1025-sd15-lokrconf8d8a4-c-000010,108.82241040590168,105.26562635343744,124.2532444183397,112.97437334084124,548.282901426951,535.0050067335314,530.0247061545538,527.5550115539927
v15-exp-1028-sd15-lokrf8d8a4-Prodigy-c-000030,163.00799093001137,150.17718947568625,180.38068306154105,158.58737615986104,833.1153809828133,802.4198993629584,835.0166362754276,827.4901585332909
v15-exp-1012-sd15-loha16a8-c,83.72690016312868,88.51540342880674,97.26619505807412,94.97875406767616,357.1829387890839,351.3339881986767,553.5707968594006,556.7897254566597
v15-exp-1021-sd15-lokrf8d8a4-a,102.00541955798268,97.06582034986276,115.02892573142036,105.17754968424909,482.7282703312376,469.739872689906,,
v15-exp-1022-sd15-lokrf8dinf-a-000010,100.62181780804984,98.5072641213493,109.88033431107613,106.09465782637444,461.3436376732639,453.44812724860185,,
v15-exp-1002-sd15-lora32a16-c-000010,88.37067441467798,85.93132582992735,98.02289826788274,92.47391014022276,364.78203799769744,358.9341421215886,,
v15-exp-1015-sd15-lohaatnonly4a2-a,96.17130479644425,91.90560760017,110.83101666263224,99.49399343960124,427.77038525697935,412.7006107458092,,
v15-exp-1012-sd15-loha16a8-b-000010,89.90581290988894,88.83697457558219,102.81803312312012,95.9199656116382,394.21962980926537,376.8133299063752,,
v15-exp-1007-sd15-lora8a4-Prodigy-c-000030,115.22605425677192,99.303307462767,126.939230194507,107.4468650169079,491.38828542133206,475.2977452354744,,
v15-exp-1003-sd15-lora32a1-b,84.05503458626436,85.75980679011639,92.0580268458482,91.45630588148543,352.8147170788907,350.25140072034765,,
v15-exp-1012-sd15-loha16a8-b-000030,83.45967031472514,84.35257112988961,98.10078089859576,91.27741957297953,344.93627726586874,331.9660937709086,,
v15-exp-1021-sd15-lokrf8d8a4-b-000030,102.00815781168228,94.81227269967826,118.71566248815714,103.2878412479223,475.3969553272409,456.2345946669393,,
v15-exp-1015-sd15-lohaatnonly4a2-b,89.66695703876428,91.5257117864902,103.06691715489023,98.94986559811946,426.6335074895383,413.781053072903,,
v15-exp-1011-sd15-loha4a2-c-000030,86.08643912466505,86.48501292744254,101.18093219453056,92.68488593849878,371.42566564752906,361.5344815218232,,
v15-exp-1003-sd15-lora32a1-b-000030,83.721682761191,86.4131552822056,92.99925127450274,92.10334174511144,346.49543839854005,344.5269176927686,,
v15-exp-1007-sd15-lora8a4-Prodigy-b-000030,116.93657878274928,102.34312365690327,127.82089753027992,109.1397020810449,499.0434582223797,483.0851896634717,,
v15-exp-1023-sd15-lokrfm1d8-b-000010,134.6108438091601,120.99419600533751,149.7359491522168,128.4854673060605,680.7305609777391,665.7457868165839,,
v15-exp-1022-sd15-lokrf8dinf-c-000030,102.78713991004884,95.4076891266701,119.7573252247446,103.07337046338716,482.4990489366364,460.9308346555968,,
v15-exp-1026-sd15-lokrattnonlyf8d8a4-a,120.16989351182563,109.95214575335244,134.19989066196206,117.9269094216216,578.8536727873502,564.1898569202522,,
v15-exp-1006-sd15-lora8a4-scalar-c-000030,84.90720515864541,86.12571827953184,96.15712235960176,92.31240921785212,353.7326708674841,345.7248558949982,,
v15-exp-1001-sd15-lora8a4-c-000030,85.475782395529,86.40225717368412,97.25643773093384,92.0371965011941,352.83307945433216,345.96834474897105,,
v15-exp-1016-sd15-loha4a2-scalar-c-000010,102.27041005381454,98.72062446925702,115.11033615554868,106.4990011202957,487.0750624046136,471.523661382842,,
v15-exp-1012-sd15-loha16a8-b,84.78336001296748,86.1684700222869,97.3595173252761,92.73642575650832,357.65909921010416,349.008211231092,,
v15-exp-1021-sd15-lokrf8d8a4-c-000030,106.92513903145118,99.48145416459528,121.00809852956706,107.44495193412644,522.2088494140617,510.6918978527952,,
v15-exp-1012-sd15-loha16a8-c-000030,80.92720162596765,83.57230151031854,94.29337449508672,90.217862872738,340.015838817626,330.7580941467222,,
v15-exp-1001-sd15-lora8a4-c,88.10677566572849,87.96597860677207,99.76809727145088,93.42857728022108,363.3887349174852,359.3262254218798,,
v15-exp-1011-sd15-loha4a2-a,86.6097591865971,87.34751405715622,99.5681211794398,93.65207159773576,361.3147632149721,353.0114167415122,,
v15-exp-1027-sd15-lokrf8d8a4-scalar-a-000010,123.25568627041967,113.15536673841626,138.01355881845882,120.76339971416672,602.4748254237556,589.9681752054948,,
v15-exp-1028-sd15-lokrf8d8a4-Prodigy-a-000010,140.0356707089744,131.1774554429153,150.97801134020756,138.21211720527327,712.2815165304737,694.2530718743683,,
v15-exp-1016-sd15-loha4a2-scalar-a-000030,88.76488075056682,89.97182874031205,100.46764905681287,96.82198251907886,389.0043012750057,379.9380905206126,,
v15-exp-1028-sd15-lokrf8d8a4-Prodigy-b-000010,140.58999678129828,136.4851051077025,156.69757493129032,143.23456880427045,751.1636206041362,730.2009068075877,,
v15-exp-1002-sd15-lora32a16-b-000030,85.27578115954634,89.40385213131106,95.26680969652124,94.63030372062252,358.927413345109,355.16768050806377,,
v15-exp-1001-sd15-lora8a4-a,88.22069025560518,89.29089360805892,98.59125298166803,94.5477161795942,362.2641921915501,358.05472430429927,,
v15-exp-1003-sd15-lora32a1-c-000010,94.47244845206922,91.24772639717264,104.74038815113649,97.88611736644624,400.11610643343874,392.750320739327,,
v15-exp-1002-sd15-lora32a16-c,88.31786750757078,90.44546013735282,99.54416825147472,95.56111540213716,364.144554197278,362.58588011427264,,
v15-exp-1002-sd15-lora32a16-c-000030,85.81569895689927,88.02792402030536,95.21052579728143,93.42424405813011,353.0281254087372,349.1092422848865,,
v15-exp-1005-sd15-loraattnonly8a4-b-000010,105.17826631761228,100.40339108856632,112.31741122387656,106.64610432700914,481.0617916167971,473.95926625078073,,
v15-exp-1004-sd15-locon8a4-b,88.65469877548844,90.82113405480597,98.20323112971325,95.93023602405282,369.8757401590865,367.83951333776577,,
v15-exp-1016-sd15-loha4a2-scalar-c-000030,87.16598354704297,89.2764500362066,98.61447547857163,95.70723483934069,385.6020722999815,377.4922987245227,,
v15-exp-1003-sd15-lora32a1-b-000010,97.71852035392294,91.59668090495676,107.42051743782656,98.5050194607328,418.0549040722867,406.3724844736476,,
v15-exp-1027-sd15-lokrf8d8a4-scalar-c,104.760619094037,95.36664833584403,120.06955162596968,102.40025138702032,454.5075114940992,443.1099022914659,,
v15-exp-1011-sd15-loha4a2-a-000030,85.9408485002948,86.90335697307671,98.20121696171122,93.7367961227705,364.43527043540735,356.1031048162099,,
v15-exp-1021-sd15-lokrf8d8a4-c,106.09531794405656,95.644999213029,119.88259240781656,103.38786767040034,497.6497843680245,477.2110742186546,,
v15-exp-1006-sd15-lora8a4-scalar-a,85.82327657141354,87.88002585051163,97.20560429304032,94.0188856568912,363.19900999424726,354.3636322432212,,
v15-exp-1011-sd15-loha4a2-b-000010,102.61219550220642,91.7781719557828,117.49571840582814,99.03621956732088,432.2425152536093,417.777788625524,,
v15-exp-1005-sd15-loraattnonly8a4-a-000010,100.0842312388188,97.29700188614322,111.30099299016854,104.77457582466955,451.2928190049547,440.60474239491214,,
v15-exp-1006-sd15-lora8a4-scalar-b-000010,98.57538564688709,90.741806007607,110.77975604616518,98.25203627837402,424.97099790636594,412.1582461459807,,
v15-exp-1022-sd15-lokrf8dinf-b,95.98389843109112,94.9367948948285,109.17578010810372,102.58988216668968,443.068214940346,430.8120826009422,,
