Folder,Artifact-padding,Liqe-resize,Maniqa-resize
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/afro, illustration/in_dist_prompts",2.169921875,3.1586208,0.6385469436645508
"exp-1101-sd15-nt-b-000010/people/Saw_Gerrera/afro, illustration/out_dist_prompts",2.201171875,3.1062517,0.6540105938911438
exp-1101-sd15-nt-b-000010/people/Admiral_Piett/reaslitic/in_dist_prompts,2.5859375,2.967722,0.5018983483314514
exp-1101-sd15-nt-b-000010/people/Admiral_Piett/reaslitic/out_dist_prompts,2.701171875,2.927305,0.4502089619636535
exp-1101-sd15-nt-b-000010/people/Admiral_Piett/figurine/in_dist_prompts,2.451171875,2.9045496,0.6101158857345581
exp-1101-sd15-nt-b-000010/people/Admiral_Piett/figurine/out_dist_prompts,2.60546875,2.8443513,0.5657705664634705
exp-1101-sd15-nt-c/scene/scene_canal/in_dist_prompts,2.76171875,2.7002735,0.2666384279727936
exp-1101-sd15-nt-c/scene/scene_canal/out_dist_prompts,2.75390625,2.6996055,0.3080822229385376
exp-1101-sd15-nt-c/scene/scene_garden/in_dist_prompts,2.68359375,2.846137,0.3885510563850403
exp-1101-sd15-nt-c/scene/scene_garden/out_dist_prompts,2.912109375,2.72396,0.3809104859828949
exp-1101-sd15-nt-c/scene/scene_waterfall/in_dist_prompts,2.044921875,2.8150275,0.2497853487730026
exp-1101-sd15-nt-c/scene/scene_waterfall/out_dist_prompts,2.62109375,2.6248748,0.2951571643352508
exp-1101-sd15-nt-c/scene/scene_castle/in_dist_prompts,2.845703125,2.5356503,0.2355046421289444
exp-1101-sd15-nt-c/scene/scene_castle/out_dist_prompts,2.6875,2.4478567,0.2710924744606018
exp-1101-sd15-nt-c/scene/scene_sculpture1/in_dist_prompts,3.650390625,2.687932,0.2597500681877136
exp-1101-sd15-nt-c/scene/scene_sculpture1/out_dist_prompts,3.76953125,2.6663897,0.2669693529605865
exp-1101-sd15-nt-c/style/felix_vallotton_stroke/in_dist_captions,1.873046875,2.623852,0.4833519756793976
exp-1101-sd15-nt-c/style/felix_vallotton_stroke/out_dist_prompts,2.05078125,2.696352,0.5854582190513611
exp-1101-sd15-nt-c/style/ghibi_alter/in_dist_prompts,3.255859375,2.8048294,0.5036070346832275
exp-1101-sd15-nt-c/style/ghibi_alter/out_dist_prompts,2.662109375,2.7306476,0.5122659206390381
exp-1101-sd15-nt-c/style/ukiyo_e/in_dist_prompts,2.634765625,2.9661257,0.551629900932312
exp-1101-sd15-nt-c/style/ukiyo_e/out_dist_prompts,2.41015625,2.7815368,0.5755715370178223
exp-1101-sd15-nt-c/style/impressionism/in_dist_prompts,1.8896484375,2.7221823,0.2984199225902557
exp-1101-sd15-nt-c/style/impressionism/out_dist_prompts,1.97265625,2.6351478,0.3378768265247345
exp-1101-sd15-nt-c/style/vladimir_borovikovsky/in_dist_prompts,2.533203125,2.8960679,0.436693787574768
exp-1101-sd15-nt-c/style/vladimir_borovikovsky/out_dist_prompts,2.115234375,2.676533,0.4420613050460815
exp-1101-sd15-nt-c/style/pencil_drawing/in_dist_prompts,2.513671875,2.8548377,0.548366367816925
exp-1101-sd15-nt-c/style/pencil_drawing/out_dist_prompts,2.15625,2.734021,0.5132437944412231
exp-1101-sd15-nt-c/style/ghibi/in_dist_prompts,3.25,3.1657555,0.6446720361709595
exp-1101-sd15-nt-c/style/ghibi/out_dist_prompts,2.740234375,2.9409344,0.6167833209037781
exp-1101-sd15-nt-c/stuffed_toy/plushie_bunny/in_dist_prompts,3.53515625,2.4912689,0.2934372127056122
exp-1101-sd15-nt-c/stuffed_toy/plushie_bunny/out_dist_prompts,3.17578125,2.4718535,0.3045474886894226
exp-1101-sd15-nt-c/stuffed_toy/plushie_teddybear/in_dist_prompts,2.7265625,2.5742047,0.2778450846672058
exp-1101-sd15-nt-c/stuffed_toy/plushie_teddybear/out_dist_prompts,2.576171875,2.576425,0.333907276391983
exp-1101-sd15-nt-c/stuffed_toy/plushie_pink/in_dist_prompts,3.080078125,2.6257825,0.4794298410415649
exp-1101-sd15-nt-c/stuffed_toy/plushie_pink/out_dist_prompts,3.083984375,2.582958,0.4972415268421173
exp-1101-sd15-nt-c/stuffed_toy/plushie_panda/in_dist_prompts,3.14453125,2.76082,0.4842778146266937
exp-1101-sd15-nt-c/stuffed_toy/plushie_panda/out_dist_prompts,2.79296875,2.7476623,0.4606020748615265
exp-1101-sd15-nt-c/stuffed_toy/plushie_lobster/in_dist_prompts,4.28515625,2.558752,0.3825094699859619
exp-1101-sd15-nt-c/stuffed_toy/plushie_lobster/out_dist_prompts,3.71875,2.6198742,0.4469331800937652
exp-1101-sd15-nt-c/stuffed_toy/plushie_tortoise/in_dist_prompts,2.91015625,3.0076962,0.4768781960010528
exp-1101-sd15-nt-c/stuffed_toy/plushie_tortoise/out_dist_prompts,2.880859375,2.9570725,0.4761139154434204
exp-1101-sd15-nt-c/anime/yuuki_makoto/in_dist_prompts,2.794921875,2.9803686,0.4085951745510101
exp-1101-sd15-nt-c/anime/yuuki_makoto/out_dist_prompts,2.92578125,3.0037463,0.4305629730224609
exp-1101-sd15-nt-c/anime/yuuki_makoto/out_dist_prompts_tags,2.951171875,3.06386,0.41783007979393
exp-1101-sd15-nt-c/anime/tsushima_yoshiko/in_dist_prompts,3.474609375,2.9581187,0.4236125648021698
exp-1101-sd15-nt-c/anime/tsushima_yoshiko/out_dist_prompts,3.44921875,2.981112,0.4509492218494415
exp-1101-sd15-nt-c/anime/tsushima_yoshiko/out_dist_prompts_tags,3.318359375,3.0430377,0.4381899535655975
exp-1101-sd15-nt-c/anime/abukuma/toid outfit/in_dist_prompts,3.318359375,2.9004974,0.440645307302475
exp-1101-sd15-nt-c/anime/abukuma/toid outfit/out_dist_prompts,3.369140625,2.9042616,0.4337954819202423
exp-1101-sd15-nt-c/anime/abukuma/toid outfit/out_dist_prompts_tags,3.505859375,2.9005725,0.4098046422004699
exp-1101-sd15-nt-c/anime/abukuma/none/in_dist_prompts,3.36328125,2.9235945,0.4541366994380951
exp-1101-sd15-nt-c/anime/abukuma/none/out_dist_prompts,3.3515625,2.8987365,0.4319698810577392
exp-1101-sd15-nt-c/anime/abukuma/none/out_dist_prompts_tags,3.419921875,2.9210558,0.4227586984634399
exp-1101-sd15-nt-c/anime/abukuma/onex outfit/in_dist_prompts,3.189453125,2.855323,0.449493795633316
exp-1101-sd15-nt-c/anime/abukuma/onex outfit/out_dist_prompts,3.27734375,2.8908753,0.4538455903530121
exp-1101-sd15-nt-c/anime/abukuma/onex outfit/out_dist_prompts_tags,3.41015625,2.8805158,0.4381904602050781
exp-1101-sd15-nt-c/anime/kotomine_kirei/in_dist_prompts,3.142578125,3.0739775,0.4584423005580902
exp-1101-sd15-nt-c/anime/kotomine_kirei/out_dist_prompts,3.419921875,2.9884598,0.4534726738929748
exp-1101-sd15-nt-c/anime/kotomine_kirei/out_dist_prompts_tags,3.302734375,2.9964683,0.4330730736255646
exp-1101-sd15-nt-c/anime/ikamusume/dca outfit/in_dist_prompts,3.05859375,2.9282115,0.4484143853187561
exp-1101-sd15-nt-c/anime/ikamusume/dca outfit/out_dist_prompts,3.048828125,2.8841572,0.4331835508346557
exp-1101-sd15-nt-c/anime/ikamusume/dca outfit/out_dist_prompts_tags,3.134765625,2.964762,0.4292914271354675
exp-1101-sd15-nt-c/anime/ikamusume/none/in_dist_prompts,3.23046875,2.9656358,0.4588849246501922
exp-1101-sd15-nt-c/anime/ikamusume/none/out_dist_prompts,3.216796875,2.8821619,0.4342376291751861
exp-1101-sd15-nt-c/anime/ikamusume/none/out_dist_prompts_tags,3.25,2.9407208,0.4284493625164032
exp-1101-sd15-nt-c/anime/ikamusume/wafc outfit/in_dist_prompts,3.28515625,2.9638734,0.4655588567256927
exp-1101-sd15-nt-c/anime/ikamusume/wafc outfit/out_dist_prompts,3.236328125,2.8962088,0.4523433446884155
